1958-01-31,33,28,30.5,0.13,1.5,6
1958-02-01,35,22,28.5,0,0,5
1958-02-02,29,22,25.5,0,0,4
1959-01-01,38,30,34,0.04,0,0
1959-01-02,42,32,37,1.5,0,0
1959-01-03,46,18,32,0,0,0
1959-01-04,41,20,30.5,0,0,0
1959-01-05,20,2,11,0.05,0.5,T
1959-01-06,18,2,10,0,0,T
1959-01-07,23,4,13.5,0,0,T
1959-01-08,27,8,17.5,0,0,T
1959-01-09,20,9,14.5,0.01,0.2,T
1959-01-10,21,14,17.5,T,T,T
1959-01-11,25,18,21.5,0.18,2,2
1959-01-12,40,2,21,T,T,1
1959-01-13,39,28,33.5,0,0,T
1959-01-14,41,15,28,0,0,T
1959-01-15,50,36,43,0.46,0,0
1959-01-16,36,5,20.5,0.63,1,1
1959-01-17,14,4,9,0.28,3,4
1959-01-18,15,-6,4.5,T,T,4
1959-01-19,35,-6,14.5,0,0,4
1959-01-20,41,32,36.5,0.1,1.2,3
1959-01-21,67,38,52.5,0.7,0,T
1959-01-22,64,10,37,0.7,T,T
1959-01-23,21,14,17.5,T,T,T
1959-01-24,42,12,27,T,T,T
1959-01-25,47,34,40.5,T,T,T
1959-01-26,34,23,28.5,0.28,2.7,3
1959-01-27,30,12,21,0.08,0,3
1959-01-28,39,-1,19,0,0,3
1959-01-29,44,11,27.5,0,0,3
1959-01-30,53,34,43.5,0.08,0,T
1959-01-31,34,20,27,0.1,0,T
1959-02-01,21,11,16,0,0,T
1959-02-02,24,-2,11,0,0,0
1960-01-01,42,16,29,0,0,0
1960-01-02,46,24,35,0,0,0
1960-01-03,49,31,40,0.95,0,0
1960-01-04,31,24,27.5,T,T,T
1960-01-05,32,21,26.5,0,0,0
1960-01-06,37,18,27.5,0,0,0
1960-01-07,41,24,32.5,0,0,0
1960-01-08,40,34,37,0,0,0
1960-01-09,48,21,34.5,0,0,0
1960-01-10,48,26,37,0,0,0
1960-01-11,44,27,35.5,T,0,0
